PC,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,4.919514372217692,30.746964826360585,30.746964826360585
comp 2,2.672909495378461,16.705684346115387,47.45264917247597
comp 3,1.8342893630340718,11.464308518962953,58.916957691438924
comp 4,1.6300859260406646,10.188037037754157,69.10499472919308
comp 5,1.106095397953232,6.913096237207703,76.01809096640078
comp 6,0.9483825037884238,5.927390648677651,81.94548161507842
comp 7,0.7444627968790237,4.652892480493899,86.59837409557232
comp 8,0.6274667468532074,3.921667167832547,90.52004126340488
comp 9,0.44578978748255743,2.786186171765985,93.30622743517087
comp 10,0.3539445724313965,2.212153577696229,95.5183810128671
comp 11,0.2868174779060703,1.7926092369129403,97.31099024978003
comp 12,0.18525028523417802,1.157814282713613,98.46880453249365
comp 13,0.12449485085091963,0.7780928178182479,99.2468973503119
comp 14,0.07181382066071744,0.44883637912948415,99.69573372944139
comp 15,0.033456085430291264,0.2091005339393205,99.9048342633807
comp 16,0.015226517859092561,0.09516573661932853,100.00000000000003
