data,category,median,variance
Site_description,Core,1,0.03519942124014564
Sample_chronology,Core,1,0.05443456997234788
Multiple_names,Core,0.042234878870527896,0.054505130446217485
References,Core,0.9650776053215078,0.06195813151400448
Grave,Extended,0.29430199430199455,0.06702594583005277
Overall_chronology,Core,0.9045454545454545,0.07504968984017633
Body_arrangement,Extended,0.12007168458781362,0.07807981187151915
Images,Extended,0,0.0892903567546689
C14,Extended,0.5857142857142856,0.09133653526487383
Body_positioning,Extended,0.2693604817895039,0.10711216442017912
IndividualID,Core,0.8887390004980906,0.12249542416099565
Anthropological_age,Extended,0.6471984805318138,0.13761915014891962
Culture,Extended,0.658990011098779,0.1383785006440669
Anthropological_sex,Extended,0.5790360334799264,0.142771152833192
Grave_goods,Extended,0.35985077636620255,0.145934496588958
Geolocation,Core,1,0.1818560944287336
